,제휴사,대분류코드,중분류코드,소분류코드,중분류명,소분류명,대분류카테고리
0,D,1,0101,D010101,베이직케어,스킨/토너,생활잡화 /뷰티
1,D,1,0101,D010102,베이직케어,미스트,생활잡화 /뷰티
2,D,1,0101,D010103,베이직케어,에멀젼/로션,생활잡화 /뷰티
3,D,1,0101,D010104,베이직케어,에센스/세럼,생활잡화 /뷰티
4,D,1,0101,D010105,베이직케어,아이케어,생활잡화 /뷰티
5,D,1,0101,D010106,베이직케어,크림/밤/오일,생활잡화 /뷰티
6,D,1,0101,D010107,베이직케어,스킨케어세트,생활잡화 /뷰티
7,D,1,0102,D010201,선케어,선크림류,생활잡화 /뷰티
8,D,1,0102,D010202,선케어,태닝/애프터선케어,생활잡화 /뷰티
9,D,1,0103,D010301,클렌징,페이셜클렌저,생활잡화 /뷰티
10,D,1,0104,D010401,집중케어,페이셜팩류,생활잡화 /뷰티
11,D,1,0105,D010501,남성케어,남성용면도기/날,생활잡화 /뷰티
12,D,1,0105,D010502,남성케어,쉐이빙폼/젤,생활잡화 /뷰티
13,D,1,0105,D010503,남성케어,클래식면도용품,생활잡화 /뷰티
14,D,1,0105,D010504,남성케어,남성용클렌저,생활잡화 /뷰티
15,D,1,0105,D010505,남성케어,남성용스킨케어류,생활잡화 /뷰티
16,D,1,0105,D010506,남성케어,남성스킨케어세트,생활잡화 /뷰티
17,D,1,0105,D010507,남성케어,남성용선크림/메이크업류,생활잡화 /뷰티
18,D,1,0106,D010601,베이비케어,유아용화장품,생활잡화 /뷰티
19,D,1,0106,D010602,베이비케어,기저귀크림/파우더,생활잡화 /뷰티
20,D,1,0106,D010603,베이비케어,유아용샴푸/바디워시,생활잡화 /뷰티
21,D,1,0106,D010604,베이비케어,유아목욕용품,생활잡화 /뷰티
22,D,2,0201,D020101,헤어케어,샴푸,생활잡화 /뷰티
23,D,2,0201,D020102,헤어케어,린스/컨디셔너,생활잡화 /뷰티
24,D,2,0201,D020103,헤어케어,트리트먼트/팩,생활잡화 /뷰티
25,D,2,0201,D020104,헤어케어,헤어에센스,생활잡화 /뷰티
26,D,2,0201,D020105,헤어케어,헤어스프레이,생활잡화 /뷰티
27,D,2,0201,D020106,헤어케어,헤어무스/젤,생활잡화 /뷰티
28,D,2,0201,D020107,헤어케어,헤어왁스,생활잡화 /뷰티
29,D,2,0201,D020108,헤어케어,염모제,생활잡화 /뷰티
30,D,2,0202,D020201,바디케어,바디워시,생활잡화 /뷰티
31,D,2,0202,D020202,바디케어,바디보습,생활잡화 /뷰티
32,D,2,0202,D020203,바디케어,입욕제/스파제품,생활잡화 /뷰티
33,D,2,0202,D020204,바디케어,바디케어세트,생활잡화 /뷰티
34,D,2,0202,D020205,바디케어,바디슬리밍/리프팅,생활잡화 /뷰티
35,D,2,0202,D020206,바디케어,제모용품,생활잡화 /뷰티
36,D,2,0202,D020207,바디케어,데오도란트,생활잡화 /뷰티
37,D,2,0203,D020301,핸드/풋케어,핸드워시/손세정제,생활잡화 /뷰티
38,D,2,0203,D020302,핸드/풋케어,핸드로션/크림,생활잡화 /뷰티
39,D,2,0203,D020303,핸드/풋케어,풋케어,생활잡화 /뷰티
40,D,2,0203,D020304,핸드/풋케어,풋케어도구,생활잡화 /뷰티
41,D,2,0204,D020401,구강케어,치약,생활잡화 /뷰티
42,D,2,0204,D020402,구강케어,칫솔,생활잡화 /뷰티
43,D,2,0204,D020403,구강케어,전동칫솔/칫솔모,생활잡화 /뷰티
44,D,2,0204,D020404,구강케어,구강청정제,생활잡화 /뷰티
45,D,2,0204,D020405,구강케어,기타구강관리용품,생활잡화 /뷰티
46,D,2,0204,D020406,구강케어,치약/칫솔세트,생활잡화 /뷰티
47,D,2,0205,D020501,여성용품,생리대,생활잡화 /뷰티
48,D,2,0205,D020502,여성용품,탐폰,생활잡화 /뷰티
49,D,2,0205,D020503,여성용품,팬티라이너,생활잡화 /뷰티
50,D,2,0205,D020504,여성용품,여성세정제,생활잡화 /뷰티
51,D,3,0301,D030101,피트니스,웨이트기구,생활잡화 /뷰티
52,D,3,0301,D030102,피트니스,기타피트니스기구,생활잡화 /뷰티
53,D,3,0301,D030103,피트니스,기타건강측정용품,생활잡화 /뷰티
54,D,3,0302,D030201,건강기능식품,종합영양제,생활잡화 /뷰티
55,D,3,0302,D030202,건강기능식품,일반비타민,생활잡화 /뷰티
56,D,3,0302,D030203,건강기능식품,기타영양제,생활잡화 /뷰티
57,D,3,0302,D030204,건강기능식품,운동보조식품,생활잡화 /뷰티
58,D,3,0302,D030205,건강기능식품,다이어트보조식품,생활잡화 /뷰티
59,D,3,0302,D030206,건강기능식품,미용보조식품,생활잡화 /뷰티
60,D,3,0302,D030207,건강기능식품,건강보조식품세트,생활잡화 /뷰티
61,D,3,0303,D030301,일반의약외품,안전상비의약외품,생활잡화 /뷰티
62,D,3,0303,D030302,일반의약외품,콘돔,생활잡화 /뷰티
63,D,3,0303,D030303,일반의약외품,건강마스크,생활잡화 /뷰티
64,D,3,0303,D030304,일반의약외품,밴드류,생활잡화 /뷰티
65,D,3,0303,D030305,일반의약외품,렌즈관리용품,생활잡화 /뷰티
66,D,3,0303,D030306,일반의약외품,온/냉찜질용품,생활잡화 /뷰티
67,D,4,0401,D040101,과자,기타견과류,생활잡화 /뷰티
68,D,4,0401,D040102,과자,일반시리얼,생활잡화 /뷰티
69,D,4,0401,D040103,과자,즉석스프,생활잡화 /뷰티
70,D,4,0401,D040104,과자,기타레토르트,생활잡화 /뷰티
71,D,4,0401,D040105,과자,일반껌,생활잡화 /뷰티
72,D,4,0401,D040106,과자,하드캔디,생활잡화 /뷰티
73,D,4,0401,D040107,과자,판초콜릿,생활잡화 /뷰티
74,D,4,0401,D040108,과자,일반스낵,생활잡화 /뷰티
75,D,4,0401,D040109,과자,쿠키,생활잡화 /뷰티
76,D,4,0401,D040110,과자,파이,생활잡화 /뷰티
77,D,4,0401,D040111,과자,바아이스크림,생활잡화 /뷰티
78,D,4,0401,D040112,과자,컵아이스크림,생활잡화 /뷰티
79,D,4,0402,D040201,음료,생수,생활잡화 /뷰티
80,D,4,0402,D040202,음료,탄산수,생활잡화 /뷰티
81,D,4,0402,D040203,음료,콜라,생활잡화 /뷰티
82,D,4,0402,D040204,음료,혼합탄산,생활잡화 /뷰티
83,D,4,0402,D040205,음료,스포츠음료,생활잡화 /뷰티
84,D,4,0402,D040206,음료,비타민/에너지음료,생활잡화 /뷰티
85,D,4,0402,D040207,음료,한방음료,생활잡화 /뷰티
86,D,4,0402,D040208,음료,숙취해소음료,생활잡화 /뷰티
87,D,4,0402,D040209,음료,기타기능성음료,생활잡화 /뷰티
88,D,4,0402,D040210,음료,과일음료,생활잡화 /뷰티
89,D,4,0402,D040211,음료,채소음료,생활잡화 /뷰티
90,D,4,0402,D040212,음료,과채혼합음료,생활잡화 /뷰티
91,D,4,0402,D040213,음료,일반차음료,생활잡화 /뷰티
92,D,4,0402,D040214,음료,전통차음료,생활잡화 /뷰티
93,D,4,0402,D040215,음료,커피음료,생활잡화 /뷰티
94,D,4,0402,D040216,음료,일반두유,생활잡화 /뷰티
95,D,4,0402,D040217,음료,믹스커피,생활잡화 /뷰티
96,D,4,0402,D040218,음료,식수용차,생활잡화 /뷰티
97,D,4,0402,D040219,음료,녹차/홍차,생활잡화 /뷰티
98,D,4,0402,D040220,음료,허브/꽃차,생활잡화 /뷰티
99,D,4,0402,D040221,음료,전통/한방차,생활잡화 /뷰티
100,D,4,0402,D040222,음료,코코아,생활잡화 /뷰티
101,D,4,0402,D040223,음료,아이스티,생활잡화 /뷰티
102,D,5,0501,D050101,화장지/티슈,롤티슈,생활잡화 /뷰티
103,D,5,0503,D050302,기기,헤어세팅기,생활잡화 /뷰티
104,D,5,0503,D050301,기기,헤어드라이어,생활잡화 /뷰티
105,D,5,0502,D050205,방향/제습/탈취제,디퓨저,생활잡화 /뷰티
106,D,5,0501,D050102,화장지/티슈,각티슈/미용티슈,생활잡화 /뷰티
107,D,5,0502,D050203,방향/제습/탈취제,차량용방향/제취제,생활잡화 /뷰티
108,D,5,0502,D050202,방향/제습/탈취제,제습제,생활잡화 /뷰티
109,D,5,0502,D050201,방향/제습/탈취제,방향제,생활잡화 /뷰티
110,D,5,0501,D050103,화장지/티슈,물티슈,생활잡화 /뷰티
111,D,5,0502,D050204,방향/제습/탈취제,향초,생활잡화 /뷰티
112,D,6,0602,D060202,양말류,스타킹,생활잡화 /뷰티
113,D,6,0602,D060201,양말류,여성덧신류,생활잡화 /뷰티
114,D,6,0601,D060109,미용소품,미용거울,생활잡화 /뷰티
115,D,6,0601,D060108,미용소품,면봉/화장솜,생활잡화 /뷰티
116,D,6,0601,D060107,미용소품,네일케어도구,생활잡화 /뷰티
117,D,6,0601,D060106,미용소품,스폰지/퍼프,생활잡화 /뷰티
118,D,6,0601,D060105,미용소품,메이크업브러쉬,생활잡화 /뷰티
119,D,6,0601,D060104,미용소품,속눈썹/쌍꺼풀,생활잡화 /뷰티
120,D,6,0601,D060103,미용소품,메탈미용소도구,생활잡화 /뷰티
121,D,6,0601,D060102,미용소품,기름종이,생활잡화 /뷰티
122,D,6,0601,D060101,미용소품,여성헤어액세서리,생활잡화 /뷰티
123,D,6,0602,D060203,양말류,여성타이즈,생활잡화 /뷰티
124,D,6,0608,D060801,계절팩,손난로/핫팩,생활잡화 /뷰티
125,D,6,0607,D060701,여행용품,여행용소품,생활잡화 /뷰티
126,D,6,0606,D060601,안전용품,보안용품,생활잡화 /뷰티
127,D,6,0605,D060502,전기용품,이어폰/헤드폰,생활잡화 /뷰티
128,D,6,0605,D060501,전기용품,건전지,생활잡화 /뷰티
129,D,6,0604,D060401,파티/팬시용품,기타파티/팬시용품,생활잡화 /뷰티
130,D,6,0603,D060302,우산/양산류,우비,생활잡화 /뷰티
131,D,6,0603,D060301,우산/양산류,장우산,생활잡화 /뷰티
132,D,7,0702,D070201,남성,남성향수,생활잡화 /뷰티
133,D,7,0701,D070101,여성,여성향수,생활잡화 /뷰티
134,D,8,0803,D080302,립메이크업,립글로즈/틴트,생활잡화 /뷰티
135,D,8,0803,D080301,립메이크업,립스틱/립라이너,생활잡화 /뷰티
136,D,8,0804,D080401,네일메이크업,일반네일/케어류,생활잡화 /뷰티
137,D,8,0802,D080204,아이메이크업,아이섀도우,생활잡화 /뷰티
138,D,8,0802,D080203,아이메이크업,마스카라,생활잡화 /뷰티
139,D,8,0802,D080202,아이메이크업,아이브로우,생활잡화 /뷰티
140,D,8,0802,D080201,아이메이크업,아이라이너,생활잡화 /뷰티
141,D,8,0801,D080103,베이스메이크업,블러셔/쉐이딩/하이라이터,생활잡화 /뷰티
142,D,8,0801,D080102,베이스메이크업,BB/파운데이션/컴팩트류,생활잡화 /뷰티
143,D,8,0801,D080101,베이스메이크업,메이크업베이스/프라이머,생활잡화 /뷰티
144,D,8,0802,D080205,아이메이크업,메이크업세트,생활잡화 /뷰티
